STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000002173,CID000003345,C0151714,hypermagnesemia
CID000002173,CID000003345,C0035344,retinopathy of prematurity
CID000002173,CID000003345,C0004144,atelectasis
CID000002173,CID000003345,C0002063,alkalosis
CID000002173,CID000003345,C0004604,Back Ache
CID000002173,CID000003345,C0034063,lung edema
CID000002173,CID000003345,C0085631,agitated
CID000005206,CID000009433,C0023895,disease of liver
CID000005206,CID000009433,C0151904,Aspartate Aminotransferase Increase
CID000005206,CID000009433,C0277925,Cold extremities
CID000005206,CID000009433,C0013182,Drug hypersensitivity
CID000005206,CID000009433,C0016382,facial flushing
CID000005206,CID000009433,C0002792,anaphylactic reaction
CID000003929,CID000150610,C0015230,eruption
CID000003929,CID000150610,C0001339,acute pancreatitis
